alternative_id,sub_code,raw_score,raw_score_source,raw_score_scale,is_imputed,processed_score,normalized_score,normalization_scheme
A1,S1,0.4523610843968492,Alternative_Scores,continuous_numeric,0,0.4523610843968492,0.654261726260714,minmax_by_subcriterion
A2,S1,0.3425911882103992,Alternative_Scores,continuous_numeric,0,0.3425911882103992,0.42585811893046255,minmax_by_subcriterion
A3,S1,0.4214188410101574,Alternative_Scores,continuous_numeric,0,0.4214188410101574,0.589878682694682,minmax_by_subcriterion
A4,S1,0.460488786080891,Alternative_Scores,continuous_numeric,0,0.460488786080891,0.6711734338274783,minmax_by_subcriterion
A5,S1,0.2423261018774509,Alternative_Scores,continuous_numeric,0,0.2423261018774509,0.21723163568385295,minmax_by_subcriterion
A6,S1,0.3490362462992612,Alternative_Scores,continuous_numeric,0,0.3490362462992612,0.43926866743320236,minmax_by_subcriterion
A7,S1,0.6185215704752022,Alternative_Scores,continuous_numeric,0,0.6185215704752022,1.0,minmax_by_subcriterion
A8,S1,0.4770717102042554,Alternative_Scores,continuous_numeric,0,0.4770717102042554,0.7056783374617756,minmax_by_subcriterion
A9,S1,0.3369974344934163,Alternative_Scores,continuous_numeric,0,0.3369974344934163,0.4142189211917149,minmax_by_subcriterion
A10,S1,0.411044956346849,Alternative_Scores,continuous_numeric,0,0.411044956346849,0.5682932320251924,minmax_by_subcriterion
A11,S1,0.3393838789802953,Alternative_Scores,continuous_numeric,0,0.3393838789802953,0.41918451329331186,minmax_by_subcriterion
A12,S1,0.3627990608829829,Alternative_Scores,continuous_numeric,0,0.3627990608829829,0.46790563081886566,minmax_by_subcriterion
A13,S1,0.3444882541226488,Alternative_Scores,continuous_numeric,0,0.3444882541226488,0.4298054370272664,minmax_by_subcriterion
A14,S1,0.2667289357088443,Alternative_Scores,continuous_numeric,0,0.2667289357088443,0.268007809022887,minmax_by_subcriterion
A15,S1,0.2645990612637613,Alternative_Scores,continuous_numeric,0,0.2645990612637613,0.26357607479229994,minmax_by_subcriterion
A16,S1,0.3623862052006153,Alternative_Scores,continuous_numeric,0,0.3623862052006153,0.46704658174953445,minmax_by_subcriterion
A17,S1,0.3119535941383461,Alternative_Scores,continuous_numeric,0,0.3119535941383461,0.36210897413678594,minmax_by_subcriterion
A18,S1,0.4045795255342325,Alternative_Scores,continuous_numeric,0,0.4045795255342325,0.5548402929968319,minmax_by_subcriterion
A19,S1,0.3313047332747252,Alternative_Scores,continuous_numeric,0,0.3313047332747252,0.4023738385326783,minmax_by_subcriterion
A20,S1,0.2852981251061975,Alternative_Scores,continuous_numeric,0,0.2852981251061975,0.30664563224128655,minmax_by_subcriterion
A21,S1,0.4844826645970645,Alternative_Scores,continuous_numeric,0,0.4844826645970645,0.7210986737824227,minmax_by_subcriterion
A22,S1,0.3325227109787705,Alternative_Scores,continuous_numeric,0,0.3325227109787705,0.4049081444846421,minmax_by_subcriterion
A23,S1,0.387555902480575,Alternative_Scores,continuous_numeric,0,0.387555902480575,0.5194184054815026,minmax_by_subcriterion
A24,S1,0.3273270591753531,Alternative_Scores,continuous_numeric,0,0.3273270591753531,0.3940972969247903,minmax_by_subcriterion
A25,S1,0.2758120327354592,Alternative_Scores,continuous_numeric,0,0.2758120327354592,0.2869074545421437,minmax_by_subcriterion
A26,S1,0.320578860576769,Alternative_Scores,continuous_numeric,0,0.320578860576769,0.38005598909409366,minmax_by_subcriterion
A27,S1,0.2880307773521699,Alternative_Scores,continuous_numeric,0,0.2880307773521699,0.3123315958091036,minmax_by_subcriterion
A28,S1,0.4111485801245572,Alternative_Scores,continuous_numeric,0,0.4111485801245572,0.568508847102331,minmax_by_subcriterion
A29,S1,0.3346467249434887,Alternative_Scores,continuous_numeric,0,0.3346467249434887,0.40932768452627094,minmax_by_subcriterion
A30,S1,0.3637756189232472,Alternative_Scores,continuous_numeric,0,0.3637756189232472,0.46993760303449816,minmax_by_subcriterion
A31,S1,0.3167125431141645,Alternative_Scores,continuous_numeric,0,0.3167125431141645,0.3720111527024946,minmax_by_subcriterion
A32,S1,0.5999352222358445,Alternative_Scores,continuous_numeric,0,0.5999352222358445,0.9613264735373814,minmax_by_subcriterion
A33,S1,0.3041255540905703,Alternative_Scores,continuous_numeric,0,0.3041255540905703,0.3458207872353358,minmax_by_subcriterion
A34,S1,0.2511699158525933,Alternative_Scores,continuous_numeric,0,0.2511699158525933,0.23563339322081195,minmax_by_subcriterion
A35,S1,0.4417473084099608,Alternative_Scores,continuous_numeric,0,0.4417473084099608,0.6321771219473161,minmax_by_subcriterion
A36,S1,0.2008056369004966,Alternative_Scores,continuous_numeric,0,0.2008056369004966,0.13083796758146513,minmax_by_subcriterion
A37,S1,0.3869310937809562,Alternative_Scores,continuous_numeric,0,0.3869310937809562,0.5181183353726464,minmax_by_subcriterion
A38,S1,0.2874538670518597,Alternative_Scores,continuous_numeric,0,0.2874538670518597,0.3111311902491583,minmax_by_subcriterion
A39,S1,0.2666722638658501,Alternative_Scores,continuous_numeric,0,0.2666722638658501,0.26788988913935213,minmax_by_subcriterion
A40,S1,0.4042178845703471,Alternative_Scores,continuous_numeric,0,0.4042178845703471,0.5540878089043854,minmax_by_subcriterion
A41,S1,0.3826237782868483,Alternative_Scores,continuous_numeric,0,0.3826237782868483,0.5091558927454558,minmax_by_subcriterion
A42,S1,0.3639586722581811,Alternative_Scores,continuous_numeric,0,0.3639586722581811,0.47031849108746415,minmax_by_subcriterion
A43,S1,0.3507017071648107,Alternative_Scores,continuous_numeric,0,0.3507017071648107,0.442734073548853,minmax_by_subcriterion
A44,S1,0.3377101102164692,Alternative_Scores,continuous_numeric,0,0.3377101102164692,0.41570182052620536,minmax_by_subcriterion
A45,S1,0.3107781235843057,Alternative_Scores,continuous_numeric,0,0.3107781235843057,0.35966311489686015,minmax_by_subcriterion
A46,S1,0.3419291842274751,Alternative_Scores,continuous_numeric,0,0.3419291842274751,0.4244806547711631,minmax_by_subcriterion
A47,S1,0.2885907351772115,Alternative_Scores,continuous_numeric,0,0.2885907351772115,0.31349672752221974,minmax_by_subcriterion
A48,S1,0.4771909820318291,Alternative_Scores,continuous_numeric,0,0.4771909820318291,0.7059265122038235,minmax_by_subcriterion
A49,S1,0.4285839150061061,Alternative_Scores,continuous_numeric,0,0.4285839150061061,0.6047874036128755,minmax_by_subcriterion
A50,S1,0.2805113336829874,Alternative_Scores,continuous_numeric,0,0.2805113336829874,0.29668552052958713,minmax_by_subcriterion
A51,S1,0.4756473843247396,Alternative_Scores,continuous_numeric,0,0.4756473843247396,0.7027146727395035,minmax_by_subcriterion
A52,S1,0.2992738498127753,Alternative_Scores,continuous_numeric,0,0.2992738498127753,0.33572560816305413,minmax_by_subcriterion
A53,S1,0.2839499639698343,Alternative_Scores,continuous_numeric,0,0.2839499639698343,0.30384044723605724,minmax_by_subcriterion
A54,S1,0.3720898046114752,Alternative_Scores,continuous_numeric,0,0.3720898046114752,0.4872373370160196,minmax_by_subcriterion
A55,S1,0.4533730662298457,Alternative_Scores,continuous_numeric,0,0.4533730662298457,0.6563674064994607,minmax_by_subcriterion
A56,S1,0.4765136568558457,Alternative_Scores,continuous_numeric,0,0.4765136568558457,0.7045171684866041,minmax_by_subcriterion
A57,S1,0.351235781295808,Alternative_Scores,continuous_numeric,0,0.351235781295808,0.4438453477901474,minmax_by_subcriterion
A58,S1,0.3479083643645845,Alternative_Scores,continuous_numeric,0,0.3479083643645845,0.4369218281678612,minmax_by_subcriterion
A59,S1,0.3907329896914314,Alternative_Scores,continuous_numeric,0,0.3907329896914314,0.5260291266807816,minmax_by_subcriterion
